Postnummer,Datum,Uppskattning,Low_CI,High_CI
27,2020-05-18,0.67,0.28,1.45
59,2020-05-18,0.79,0.25,2.04
53,2020-05-18,0.66,0.16,1.99
16,2020-05-18,0.81,0.44,1.4
79,2020-05-18,0.63,0.19,1.69
41,2020-05-18,0.78,0.5,1.16
11,2020-05-18,0.81,0.56,1.14
15,2020-05-18,1.02,0.29,2.9
28,2020-05-18,0.65,0.22,1.63
55,2020-05-18,0.59,0.12,1.84
30,2020-05-18,0.4,0.07,1.49
45,2020-05-18,0.76,0.26,2.01
12,2020-05-18,0.98,0.65,1.42
22,2020-05-18,0.52,0.31,0.83
18,2020-05-18,0.75,0.43,1.28
60,2020-05-18,0.94,0.28,2.48
75,2020-05-18,0.67,0.35,1.22
13,2020-05-18,0.74,0.41,1.26
81,2020-05-18,0.86,0.22,2.61
87,2020-05-18,0.9,0.11,3.83
71,2020-05-18,0.81,0.14,3.77
73,2020-05-18,0.8,0.21,2.44
57,2020-05-18,0.62,0.23,1.42
24,2020-05-18,0.45,0.25,0.78
54,2020-05-18,0.54,0.15,1.48
64,2020-05-18,0.78,0.21,2.3
14,2020-05-18,0.97,0.5,1.81
93,2020-05-18,0.95,0.19,3.2
80,2020-05-18,0.72,0.21,2.07
74,2020-05-18,0.69,0.26,1.66
78,2020-05-18,0.97,0.24,3.11
35,2020-05-18,0.48,0.09,1.59
63,2020-05-18,0.62,0.08,2.81
58,2020-05-18,0.65,0.25,1.46
82,2020-05-18,0.91,0.3,2.4
84,2020-05-18,,,
34,2020-05-18,0.6,0.13,1.99
92,2020-05-18,,,
61,2020-05-18,0.79,0.26,2.11
76,2020-05-18,1.12,0.17,5.43
44,2020-05-18,0.63,0.29,1.26
70,2020-05-18,0.89,0.33,2.04
38,2020-05-18,0.67,0.13,2.34
91,2020-05-18,,,
83,2020-05-18,0.88,0.31,2.15
85,2020-05-18,0.74,0.13,2.66
56,2020-05-18,0.77,0.21,2.19
68,2020-05-18,0.59,0.06,2.73
47,2020-05-18,0.89,0.15,4.15
17,2020-05-18,0.72,0.35,1.39
42,2020-05-18,0.73,0.36,1.38
37,2020-05-18,0.42,0.11,1.21
88,2020-05-18,,,
62,2020-05-18,0.49,0.04,2.65
39,2020-05-18,0.59,0.07,2.42
65,2020-05-18,0.64,0.17,1.79
66,2020-05-18,0.57,0.09,2.1
31,2020-05-18,0.4,0.07,1.68
51,2020-05-18,0.45,0.07,1.8
89,2020-05-18,0.39,0.01,2.6
33,2020-05-18,0.59,0.12,2.04
69,2020-05-18,0.67,0.11,2.55
67,2020-05-18,0.3,0,4.17
94,2020-05-18,0.71,0.1,3.25
50,2020-05-18,0.67,0.15,2.12
86,2020-05-18,0.54,0.05,2.86
96,2020-05-18,,,
95,2020-05-18,,,
98,2020-05-18,0.96,0.13,3.9
20,2020-05-18,,,
10,2020-05-18,,,
21,2020-05-19,0.48,0.3,0.74
23,2020-05-19,0.45,0.23,0.83
25,2020-05-19,0.39,0.16,0.85
77,2020-05-19,1.01,0.26,3.31
46,2020-05-19,0.63,0.21,1.64
29,2020-05-19,0.42,0.13,1.15
36,2020-05-19,0.59,0.07,3.16
26,2020-05-19,0.51,0.26,0.94
